index,full_name,short_name,description,output_type,parameters
14,ee.Algorithms.GeometryConstructors.MultiLineString,ee.Algorithms.GeometryConstructors.MultiLineString,Constructs a MultiLineString from the given coordinates.,Geometry,"[{'name': 'coordinates', 'type': 'List', 'details': 'The list of LineStrings, or to wrap a single LineString, the list of Points or pairs of Numbers in x,y order.'}, {'name': 'crs', 'type': 'Projection, default: null', 'details': 'The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.'}, {'name': 'geodesic', 'type': 'Boolean, default: null', 'details': 'If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.'}]"
15,ee.Algorithms.GeometryConstructors.MultiPoint,ee.Algorithms.GeometryConstructors.MultiPoint,Constructs a MultiPoint from the given coordinates.,Geometry,"[{'name': 'coordinates', 'type': 'List', 'details': 'The list of Points or pairs of Numbers in x,y order.'}, {'name': 'crs', 'type': 'Projection, default: null', 'details': 'The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.'}]"
16,ee.Algorithms.GeometryConstructors.MultiPolygon,ee.Algorithms.GeometryConstructors.MultiPolygon,Constructs a MultiPolygon from the given coordinates.,Geometry,"[{'name': 'coordinates', 'type': 'List', 'details': 'A list of Polygons, or for one simple polygon, a list of Points or pairs of Numbers in x,y order.'}, {'name': 'crs', 'type': 'Projection, default: null', 'details': 'The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.'}, {'name': 'geodesic', 'type': 'Boolean, default: null', 'details': 'If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.'}, {'name': 'evenOdd', 'type': 'Boolean, default: true', 'details': ""If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left-inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order.""}]"
17,ee.Algorithms.GeometryConstructors.Point,ee.Algorithms.GeometryConstructors.Point,"Constructs a new Point from the given x,y coordinates.",Geometry,"[{'name': 'coordinates', 'type': 'List', 'details': 'The coordinates of this Point in x,y order.'}, {'name': 'crs', 'type': 'Projection, default: null', 'details': 'The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.'}]"
18,ee.Algorithms.GeometryConstructors.Polygon,ee.Algorithms.GeometryConstructors.Polygon,Constructs a Polygon from the given coordinates.,Geometry,"[{'name': 'coordinates', 'type': 'List', 'details': 'A list of LinearRings where the first is the shell and the rest are holes, or for a simple polygon, a list of Points or pairs of Numbers in x,y order.'}, {'name': 'crs', 'type': 'Projection, default: null', 'details': 'The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.'}, {'name': 'geodesic', 'type': 'Boolean, default: null', 'details': 'If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.'}, {'name': 'evenOdd', 'type': 'Boolean, default: true', 'details': ""If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left-inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order.""}]"
19,ee.Algorithms.GeometryConstructors.Rectangle,ee.Algorithms.GeometryConstructors.Rectangle,Constructs a rectangular polygon from the given corner points.,Geometry,"[{'name': 'coordinates', 'type': 'List', 'details': 'The low and then high corners of the Rectangle, as a list of Points or pairs of Numbers in x,y order.'}, {'name': 'crs', 'type': 'Projection, default: null', 'details': 'The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.'}, {'name': 'geodesic', 'type': 'Boolean, default: null', 'details': 'If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.'}, {'name': 'evenOdd', 'type': 'Boolean, default: true', 'details': ""If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left-inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order.""}]"
20,ee.Algorithms.HillShadow,ee.Algorithms.HillShadow,"Creates a shadow band, with output 1 where pixels are illumunated and 0 where they are shadowed. Takes as input an elevation band, azimuth and zenith of the light source in degrees, a neighborhood size, and whether or not to apply hysteresis when a shadow appears. Currently, this algorithm only works for Mercator projections, in which light rays are parallel.",Image,"[{'name': 'image', 'type': 'Image', 'details': 'The image to which to apply the shadow algorithm, in which each pixel should represent an elevation in meters.'}, {'name': 'azimuth', 'type': 'Float', 'details': 'Azimuth in degrees.'}, {'name': 'zenith', 'type': 'Float', 'details': 'Zenith in degrees.'}, {'name': 'neighborhoodSize', 'type': 'Integer, default: 0', 'details': 'Neighborhood size.'}, {'name': 'hysteresis', 'type': 'Boolean, default: false', 'details': 'Use hysteresis. Less physically accurate, but may generate better images.'}]"
21,ee.Algorithms.HoughTransform,ee.Algorithms.HoughTransform,"Applies the Hough transform to an image. For every input band, outputs a band where lines are detected by thresholding the Hough transform with a value of lineThreshold. The output band is named [input]_lines, where [input] is the name of the original band. The defaults provided for the parameters are intended as a starting point for use with UINT8 images.",Image,"[{'name': 'image', 'type': 'Image', 'details': 'The image to which to apply the transform.'}, {'name': 'gridSize', 'type': 'Integer, default: 256', 'details': 'The size of the grid over which to perform the computation.'}, {'name': 'inputThreshold', 'type': 'Float, default: 64', 'details': 'Value threshold for input image. Pixels equal to or above this value are considered active.'}, {'name': 'lineThreshold', 'type': 'Float, default: 72', 'details': 'Threshold for line detection. Values equal to or above this threshold on the Hough transform are considered to be detected lines.'}, {'name': 'smooth', 'type': 'Boolean, default: true', 'details': 'Whether to smooth the Hough transform before line detection.'}]"
22,ee.Algorithms.If,ee.Algorithms.If,"Selects one of its inputs based on a condition, similar to an if-then-else construct.",Object,"[{'name': 'condition', 'type': 'Object, default: null', 'details': 'The condition that determines which result is returned. If this is not a boolean, it is interpreted as a boolean by the following rules:\n\n\xa0\xa0- Numbers that are equal to 0 or a NaN are false.\n\n\xa0\xa0- Empty strings, lists and dictionaries are false.\n\n\xa0\xa0- Null is false.\n\n\xa0\xa0- Everything else is true.'}, {'name': 'trueCase', 'type': 'Object, default: null', 'details': 'The result to return if the condition is true.'}, {'name': 'falseCase', 'type': 'Object, default: null', 'details': 'The result to return if the condition is false.'}]"
23,ee.Algorithms.Image.Segmentation.GMeans,ee.Algorithms.Image.Segmentation.GMeans,"Performs G-Means clustering on the input image. Iteratively applies k-means followed by a normality test to automatically determine the number of clusters to use. The output contains a 'clusters' band containing the integer ID of the cluster that each pixel belongs to. The algorithm can work either on a fixed grid of non-overlapping cells (gridSize, which can be smaller than a tile) or on tiles with overlap (neighborhoodSize). The default is to use tiles with no overlap. Clusters in one cell or tile are unrelated to clusters in another. Any cluster that spans a cell or tile boundary may receive two different labels in the two halves. Any input pixels with partial masks are fully masked in the output. This algorithm is only expected to perform well for images with a narrow dynamic range (i.e. bytes or shorts).",Image,"[{'name': 'image', 'type': 'Image', 'details': 'The input image for clustering.'}, {'name': 'numIterations', 'type': 'Integer, default: 10', 'details': 'Number of iterations. Default 10.'}, {'name': 'pValue', 'type': 'Float, default: 50', 'details': 'Significance level for normality test.'}, {'name': 'neighborhoodSize', 'type': 'Integer, default: 0', 'details': 'Neighborhood size.  The amount to extend each tile (overlap) when computing the clusters. This option is mutually exclusive with gridSize.'}, {'name': 'gridSize', 'type': 'Integer, default: null', 'details': 'Grid cell-size.  If greater than 0, kMeans will be run independently on cells of this size. This has the effect of limiting the size of any cluster to be gridSize or smaller.  This option is mutually exclusive with neighborhoodSize.'}, {'name': 'uniqueLabels', 'type': 'Boolean, default: true', 'details': 'If true, clusters are assigned unique IDs. Otherwise, they repeat per tile or grid cell.'}]"
24,ee.Algorithms.Image.Segmentation.KMeans,ee.Algorithms.Image.Segmentation.KMeans,"Performs K-Means clustering on the input image. Outputs a 1-band image  containing the ID of the cluster that each pixel belongs to.  The algorithm can work either on a fixed grid of non-overlapping cells (gridSize, which can be smaller than a tile) or on tiles with overlap (neighborhoodSize). The default is to use tiles with no overlap.  Clusters in one cell or tile are unrelated to clusters in another.  Any cluster that spans a cell or tile boundary may receive two different labels in the two halves.  Any input pixels with partial masks are fully masked in the output.",Image,"[{'name': 'image', 'type': 'Image', 'details': 'The input image for clustering.'}, {'name': 'numClusters', 'type': 'Integer, default: 8', 'details': 'Number of clusters.'}, {'name': 'numIterations', 'type': 'Integer, default: 20', 'details': 'Number of iterations.'}, {'name': 'neighborhoodSize', 'type': 'Integer, default: 0', 'details': 'Neighborhood size.  The amount to extend each tile (overlap) when computing the clusters. This option is mutually exclusive with gridSize.'}, {'name': 'gridSize', 'type': 'Integer, default: null', 'details': 'Grid cell-size.  If greater than 0, kMeans will be run independently on cells of this size. This has the effect of limiting the size of any cluster to be gridSize or smaller.  This option is mutually exclusive with neighborhoodSize.'}, {'name': 'forceConvergence', 'type': 'Boolean, default: false', 'details': 'If true, an error is thrown if convergence is not achieved before numIterations.'}, {'name': 'uniqueLabels', 'type': 'Boolean, default: true', 'details': 'If true, clusters are assigned unique IDs. Otherwise, they repeat per tile or grid cell.'}]"
25,ee.Algorithms.Image.Segmentation.SNIC,ee.Algorithms.Image.Segmentation.SNIC,"Superpixel clustering based on SNIC (Simple Non-Iterative Clustering). Outputs a band of cluster IDs and the per-cluster averages for each of the input bands. If the 'seeds' image isn't provided as input, the output will include a 'seeds' band containing the generated seed locations. See: Achanta, Radhakrishna and Susstrunk, Sabine, 'Superpixels and Polygons using Simple Non-Iterative Clustering', CVPR, 2017.",Image,"[{'name': 'image', 'type': 'Image', 'details': 'The input image for clustering.'}, {'name': 'size', 'type': 'Integer, default: 5', 'details': ""The superpixel seed location spacing, in pixels. If 'seeds' image is provided, no grid is produced.""}, {'name': 'compactness', 'type': 'Float, default: 1', 'details': 'Compactness factor. Larger values cause clusters to be more compact (square). Setting this to 0 disables spatial distance weighting.'}, {'name': 'connectivity', 'type': 'Integer, default: 8', 'details': 'Connectivity.  Either 4 or 8.'}, {'name': 'neighborhoodSize', 'type': 'Integer, default: null', 'details': 'Tile neighborhood size (to avoid tile boundary artifacts). Defaults to 2 * size.'}, {'name': 'seeds', 'type': 'Image, default: null', 'details': ""If provided, any non-zero valued pixels are used as seed locations. Pixels that touch (as specified by 'connectivity') are considered to belong to the same cluster.""}]"
26,ee.Algorithms.Image.Segmentation.seedGrid,ee.Algorithms.Image.Segmentation.seedGrid,Selects seed pixels for clustering.,Image,"[{'name': 'size', 'type': 'Integer, default: 5', 'details': 'The superpixel seed location spacing, in pixels.'}, {'name': 'gridType', 'type': 'String, default: ""square""', 'details': ""Type of grid. One of 'square' or 'hex'.""}]"
27,ee.Algorithms.IsEqual,ee.Algorithms.IsEqual,Returns whether two objects are equal.,Boolean,"[{'name': 'left', 'type': 'Object, default: null', 'details': ''}, {'name': 'right', 'type': 'Object, default: null', 'details': ''}]"
28,ee.Algorithms.Landsat.TOA,ee.Algorithms.Landsat.TOA,Calibrates Landsat DN to TOA reflectance and brightness temperature for Landsat and similar data. For recently-acquired scenes calibration coefficients are extracted from the image metadata; for older scenes the coefficients are derived from:,Image,"[{'name': 'input', 'type': 'Image', 'details': 'The Landsat image to process.'}]"
29,ee.Algorithms.Landsat.calibratedRadiance,ee.Algorithms.Landsat.calibratedRadiance,Calibrates each band of an image by applying linear transformation with slope  and y-intercept ; these values are extracted from the image metadata.,Image,"[{'name': 'image', 'type': 'Image', 'details': 'The input Landsat image.'}]"
30,ee.Algorithms.Landsat.pathRowLimit,ee.Algorithms.Landsat.pathRowLimit,"Limits requests to an ImageCollection of Landsat scenes to return a controllable number of the best scenes for each request. This is intended for use with statistical algorithms like median composites that need a certain amount of good data to perform well, but that do not benefit substantially from additional data beyond that while becoming needlessly expensive.  The default arguments select approximately one year's worth of good data.",ImageCollection,"[{'name': 'collection', 'type': 'ImageCollection', 'details': 'The Landsat ImageCollection to limit.'}, {'name': 'maxScenesPerPathRow', 'type': 'Integer, default: 25', 'details': 'The max number of scenes to return per path/row.'}, {'name': 'maxScenesTotal', 'type': 'Integer, default: 100', 'details': 'The max number of scenes to return per request total.'}]"
31,ee.Algorithms.Landsat.simpleCloudScore,ee.Algorithms.Landsat.simpleCloudScore,"Computes a simple cloud-likelihood score in the range [0,100] using a combination of brightness, temperature, and NDSI.  This is not a robust cloud detector, and is intended mainly to compare multiple looks at the same point for  cloud likelihood.",Image,"[{'name': 'image', 'type': 'Image', 'details': 'The Landsat TOA image to process.'}]"
32,ee.Algorithms.Landsat.simpleComposite,ee.Algorithms.Landsat.simpleComposite,Computes a Landsat TOA composite from a collection of raw Landsat scenes.  It applies standard TOA calibration and then assigns a cloud score to each pixel using the SimpleLandsatCloudScore algorithm. It selects the lowest possible range of cloud scores at each point and then computes per-band percentile values from the accepted pixels.  This algorithm also uses the LandsatPathRowLimit algorithm to select only the least-cloudy scenes in regions where more than maxDepth input scenes are available.,Image,"[{'name': 'collection', 'type': 'ImageCollection', 'details': 'The raw Landsat ImageCollection to composite.'}, {'name': 'percentile', 'type': 'Integer, default: 50', 'details': 'The percentile value to use when compositing each band.'}, {'name': 'cloudScoreRange', 'type': 'Integer, default: 10', 'details': 'The size of the range of cloud scores to accept per pixel.'}, {'name': 'maxDepth', 'type': 'Integer, default: 40', 'details': 'An approximate limit on the maximum number of scenes used to compute each pixel.'}, {'name': 'asFloat', 'type': 'Boolean, default: false', 'details': 'If true, output bands are in the same units as the Landsat.TOA algorithm; if false, TOA values are converted to uint8 by multiplying by 255 (reflective bands) or subtracting 100 (thermal bands) and rounding to the nearest integer.'}]"
33,ee.Algorithms.ObjectType,ee.Algorithms.ObjectType,Returns a string representing the type of the given object.,String,"[{'name': 'value', 'type': 'Object, default: null', 'details': 'The object to get the type of.'}]"
34,ee.Algorithms.ProjectionTransform,ee.Algorithms.ProjectionTransform,Transforms the geometry of a feature to a specific projection.,Feature,"[{'name': 'feature', 'type': 'Element', 'details': 'The feature the geometry of which is being converted.'}, {'name': 'proj', 'type': 'Projection, optional', 'details': 'The target projection. Defaults to WGS84. If this has a geographic CRS, the edges of the geometry will be interpreted as geodesics. Otherwise they will be interpreted as straight lines in the projection.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum projection error.'}]"
35,ee.Algorithms.Sentinel2.CDI,ee.Algorithms.Sentinel2.CDI,"Computes the Cloud Displacement Index (CDI) from a Sentinel-2 Level 1C image. CDI is a measure of the optical separation in elevated objects due to sensor parallax. Returns a floating point band named ""cdi"".",Image,"[{'name': 'source', 'type': 'Image', 'details': 'The source image.'}]"
36,ee.Algorithms.String,ee.Algorithms.String,Converts the input to a string.,String,"[{'name': 'input', 'type': 'Object', 'details': 'The object to convert.'}]"
37,ee.Algorithms.TemporalSegmentation.Ccdc,ee.Algorithms.TemporalSegmentation.Ccdc,"Implements the Continuous Change Detection and Classification temporal breakpoint algorithm.  This algorithm finds temporal breakpoints in an image collection by iteratively fitting harmonic functions to the data.  Fit coefficients are produced for all input bands, but the bands used for breakpoint detection can be specified with the 'breakpointBands' argument.",Image,"[{'name': 'collection', 'type': 'ImageCollection', 'details': 'Collection of images on which to run CCDC.'}, {'name': 'breakpointBands', 'type': 'List, default: null', 'details': 'The name or index of the bands to use for change detection. If unspecified, all bands are used.'}, {'name': 'tmaskBands', 'type': 'List, default: null', 'details': ""The name or index of the bands to use for iterative TMask cloud detection. These are typically the green band and the SWIR1 band.  If unspecified, TMask is not used.  If specified, 'tmaskBands' must be included in 'breakpointBands'.""}, {'name': 'minObservations', 'type': 'Integer, default: 6', 'details': 'The number of observations required to flag a change.'}, {'name': 'chiSquareProbability', 'type': 'Float, default: 0.99', 'details': 'The chi-square probability threshold for change detection in the range of [0, 1]'}, {'name': 'minNumOfYearsScaler', 'type': 'Float, default: 1.33', 'details': 'Factors of minimum number of years to apply new fitting.'}, {'name': 'dateFormat', 'type': 'Integer, default: 0', 'details': 'The time representation to use during fitting: 0 = jDays, 1 = fractional years,  2 = unix time in milliseconds. The start, end and break times for each temporal  segment will be encoded this way.'}, {'name': 'lambda', 'type': 'Float, default: 20', 'details': 'Lambda for LASSO regression fitting. If set to 0, regular OLS is used instead of LASSO.'}, {'name': 'maxIterations', 'type': 'Integer, default: 25000', 'details': 'Maximum number of runs for LASSO regression convergence. If set to 0, regular OLS is used instead of LASSO.'}]"
38,ee.Algorithms.TemporalSegmentation.Ewmacd,ee.Algorithms.TemporalSegmentation.Ewmacd,Exponentially Weighted Moving Average Change Detection. This algorithm computes a harmonic model for the 'training' portion of the input data and subtracts that from the original results.  The residuals are then subjected to Shewhart X-bar charts and an exponentially weighted moving average.  Disturbed pixels are indicated when the charts signal a deviation from the given control limits.,Image,"[{'name': 'timeSeries', 'type': 'ImageCollection', 'details': 'Collection from which to extract EWMA. This collection is expected to contain 1 image for each year and be sorted temporally.'}, {'name': 'vegetationThreshold', 'type': 'Float', 'details': 'Threshold for vegetation. Values below this are considered non-vegetation.'}, {'name': 'trainingStartYear', 'type': 'Integer', 'details': 'Start year of training period, inclusive.'}, {'name': 'trainingEndYear', 'type': 'Integer', 'details': 'End year of training period, exclusive.'}, {'name': 'harmonicCount', 'type': 'Integer, default: 2', 'details': 'Number of harmonic function pairs (sine and cosine) used.'}, {'name': 'xBarLimit1', 'type': 'Float, default: 1.5', 'details': 'Threshold for initial training xBar limit.'}, {'name': 'xBarLimit2', 'type': 'Integer, default: 20', 'details': 'Threshold for running xBar limit.'}, {'name': 'lambda', 'type': 'Float, default: 0.3', 'details': ""The 'lambda' tuning parameter weighting new years vs the running average.""}, {'name': 'lambdasigs', 'type': 'Float, default: 3', 'details': 'EWMA control bounds, in units of standard deviations.'}, {'name': 'rounding', 'type': 'Boolean, default: true', 'details': 'Should rounding be performed for EWMA'}, {'name': 'persistence', 'type': 'Integer, default: 3', 'details': 'Minimum number of observations needed to consider a change.'}]"
39,ee.Algorithms.TemporalSegmentation.LandTrendr,ee.Algorithms.TemporalSegmentation.LandTrendr,"Landsat-based detection of Trends in Disturbance and Recovery: temporally segments a time-series of images by extracting the spectral trajectories of change over time. The first band of each image is used to find breakpoints, and those breakpoints are used to perform fitting on all subsequent bands. The breakpoints are returned as a 2-D matrix of 4 rows and as many columns as images. The first two rows are the original X and Y values. The third row contains the Y values fitted to the estimated segments, and the 4th row contains a 1 if the corresponding point was used as a segment vertex or 0 if not. Any additional fitted bands are appended as rows in the output. Breakpoint fitting assumes that increasing values represent disturbance and decreasing values represent recovery.",Image,"[{'name': 'timeSeries', 'type': 'ImageCollection', 'details': 'Yearly time-series from which to extract breakpoints. The first band is usedto find breakpoints, and all subsequent bands are fitted using those breakpoints.'}, {'name': 'maxSegments', 'type': 'Integer', 'details': 'Maximum number of segments to be fitted on the time series.'}, {'name': 'spikeThreshold', 'type': 'Float, default: 0.9', 'details': 'Threshold for dampening the spikes (1.0 means no dampening).'}, {'name': 'vertexCountOvershoot', 'type': 'Integer, default: 3', 'details': 'The initial model can overshoot the maxSegments + 1 vertices by this amount. Later, it will be pruned down to maxSegments + 1.'}, {'name': 'preventOneYearRecovery', 'type': 'Boolean, default: false', 'details': 'Prevent segments that represent one year recoveries.'}, {'name': 'recoveryThreshold', 'type': 'Float, default: 0.25', 'details': 'If a segment has a recovery rate faster than 1/recoveryThreshold (in years), then the segment is disallowed.'}, {'name': 'pvalThreshold', 'type': 'Float, default: 0.1', 'details': 'If the p-value of the fitted model exceeds this threshold, then the current model is discarded and another one is fitted using the Levenberg-Marquardt optimizer.'}, {'name': 'bestModelProportion', 'type': 'Float, default: 0.75', 'details': 'Allows models with more vertices to be chosen if their p-value is no more than (2 - bestModelProportion) times the p-value of the best model.'}, {'name': 'minObservationsNeeded', 'type': 'Integer, default: 6', 'details': 'Min observations needed to perform output fitting.'}]"
