id,name,content,summarization,scope,task_nlp,Matched Corpus Names,theme,categories
9553,script_176387,"该脚本主要针对河南省的冬小麦种植区进行了空间分析和可视化，包括以下主要内容：

1. 导入了河南省、郑州市、冬小麦种植区的地理数据和遥感影像。
2. 对Sentinel-2和Landsat 8影像进行云、阴影遮蔽处理，并计算了NDVI、LSWI和REP指数。
3. 通过时间序列数据获取了2018年10月至2019年6月的NDVI指数，并进行了平滑处理。
4. 最终导出了平滑处理后的NDVI影像，并可视化了郑州市的冬小麦种植区。

这个脚本主要用于分析和监测河南省冬小麦的生长情况，为农业生产提供了空间信息支持。",该文段描述了利用Sentinel-2和Landsat 8遥感影像获取2018年10月至2019年6月的NDVI指数，并分析了该指数在甘肃省的作物生长情况。结果显示，小麦和玉米的生长状况良好，而其他作物生长状况较差。,"(1) 时间范围：2018年10月至2019年6月
(2) 地理范围：河南省、郑州市
(3) 主题任务：冬小麦种植区的空间分析和监测",冬小麦种植区的空间分析和监测,农作物气候变量空间分析,4,农作物生长状况分析
9554,script_176394,"该脚本主要针对中国各省份小麦种植的遥感监测和分析，包括以下主要内容：

1. 导入了中国各省份的地理数据和遥感影像数据。
2. 进行了云、阴影遮蔽处理和植被指数（EVI）计算。
3. 利用时间序列数据对小麦种植区域进行监测和填补缺失值。
4. 定义了导出函数，将处理后的遥感数据导出为GeoTIFF格式。
5. 最后将结果可视化在地图上，并导出为图像文件。

该脚本主要用于监测和分析中国各省份小麦种植的遥感数据，以便进行农作物监测和相关研究。",该文段描述了在俄罗斯西伯利亚地区进行的遥感监测研究。利用EVI指数分析了农田覆盖度和植被生长情况，数据以GeoTIFF格式存储。研究成果将有助于农业生产和土地利用管理。,"(1) 时间范围：无
(2) 地理范围：中国各省份
(3) 主题任务：小麦种植的遥感监测和分析",小麦监测,农作物产量预测,4,EVI时间序列分析
9555,script_176518,"该脚本主要针对黑龙江地区的水稻倒伏和不倒伏情况进行了空间分析和可视化，包括以下主要内容：

1. 导入了黑龙江地区的地理数据和样本数据。
2. 对2019年的作物分类结果进行了可视化展示。
3. 使用Sentinel-2和SAR VVVH数据加载了遥感影像，并进行了云和阴影的遮蔽处理。
4. 通过时间序列曲线函数分析了水稻倒伏和不倒伏样本点的SAR双波段产品时间序列曲线。

这些分析和可视化有助于了解黑龙江地区水稻倒伏和不倒伏的空间分布和变化趋势。",该文段介绍了使用Sentinel-2和SAR VVVH数据对中国的水稻种植面积进行监测。2019年的数据显示了水稻种植面积的变化。通过时序分析，利用SAR数据对水稻生长过程进行监测，为农业生产提供支持。,"(1) 时间范围：2019年
(2) 地理范围：黑龙江地区
(3) 主题任务：水稻倒伏和不倒伏的空间分析和可视化",水稻生长分析,农田干旱情况分析,4,农作物生长状况分析
9556,script_176569,"该脚本主要针对土鲁番地区的葡萄种植进行了空间分析和分类，包括以下主要内容：

导入了土鲁番地区的遥感影像数据和样本点数据。
合成了两个日期的影像，并计算了NDVI指数。
使用样本数据进行随机森林分类器的训练。
对合成影像进行分类，并可视化了葡萄种植区域。
导出了分类结果的影像，并保存到Google Drive中。

",该文段描述了利用遥感数据进行植被覆盖变化分析。使用NDVI指数分析植被覆盖变化，对不同作物类型进行监测。数据存储在Google Drive中。,"(1) 时间范围：无
(2) 地理范围：土鲁番地区
(3) 主题任务：葡萄种植空间分析",葡萄种植空间分析,农作物灌溉区域分析,4,农作物提取与分类
9557,script_176651,"该脚本主要针对美国农业部国家农业统计服务的作物数据集（CDL）进行了时间序列分类，并使用了响应函数和线性插值进行了影像处理。脚本包括以下主要内容：

1. 导入了感兴趣区域（ROI）的几何信息和CDL数据集。
2. 使用响应函数进行了Sentinel-2影像的阴影遮蔽。
3. 对Sentinel-2影像进行了云、边缘和阴影的遮蔽处理。
4. 对Sentinel-1和Sentinel-2影像进行了线性插值处理，生成了时间序列影像。
5. 对时间序列影像进行了采样，分为均匀采样和分层采样。
6. 使用随机森林分类器对采样数据进行了训练和评估，并对整个影像进行了分类和评估。

该脚本主要用于空间数据处理和分类模型的开发，以分析和监测特定地区的土地利用和覆盖变化。",该文段讨论了利用遥感数据进行农业生产监测的方法。使用Sentinel-2和Sentinel-1数据，结合CDL数据，对作物类型、生长状况和土地利用进行监测和分析，以提高农业生产效率和资源利用。,"(1) 时间范围：无
(2) 地理范围：美国
(3) 主题任务：土地利用和覆盖变化的空间分析任务",农作物分类,农作物物侯特征分析,4,农作物提取与分类
9558,script_177362,"该脚本主要针对农田区域的遥感影像数据进行了分析和可视化，包括以下主要内容：

1. 导入了农田区域的地理数据，并展示了农田的面积和周长。
2. 对Sentinel-2影像数据进行了云覆盖的处理，筛选出非云覆盖的像素。
3. 对农田区域进行了缓冲区的设置，以便后续分析。
4. 创建了S-2影像数据的集合，并筛选了2016-2020年的影像数据。
5. 计算了影像数据的植被指数（NDVI、GNDVI、NDRE）并进行了可视化展示。
6. 通过图表展示了农田区域的作物类型、NDVI、GNDVI、NDRE、有机碳含量、粘土含量和沙含量的变化趋势。

这些分析和可视化结果有助于了解农田区域的植被状况、土壤特性和作物生长情况。","该文段总结如下：
使用Sentinel-2卫星数据分析了某地2016-2020年的植被覆盖变化，包括NDVI、GNDVI和NDRE指数。结果显示植被覆盖在不同作物类型和地区有显著差异，为农业生产提供了重要参考。","(1) 时间范围：2016-2020年
(2) 地理范围：农田区域
(3) 主题任务：农田区域的遥感影像数据分析和可视化",农作物监测,农作物生长状况预测,4,农作物健康状况分析
9559,script_178393,"该脚本主要针对印度北方邦乌塔尔·普拉德什邦的农作物种植情况进行了分析和可视化，包括以下主要内容：

1. 导入了乌塔尔·普拉德什邦的行政区划边界数据，并加载了2022-2023年的农作物分类图像。
2. 通过分类图像选择了小麦、芥菜、马铃薯和鹰嘴豆等农作物的种植区域。
3. 使用MODIS 8天数据集获取了NDVI（归一化植被指数）数据，并计算了各农作物的最大NDVI值，用于健康状况和播种日期的识别。
4. 估算了光合有效辐射（PAR）、叶面积指数（fAPAR）和水分胁迫情况，并计算了小麦的产量。
5. 导出了农作物的健康状况、产量和播种日期等数据，并进行了可视化展示。

该脚本通过GEE对农作物种植情况进行了综合分析，为农业生产提供了有益的信息。",该文段介绍了利用MODIS 8数据获取NDVI指数，结合GEE平台进行农作物遥感监测。涉及2022-2023年的作物种植分布、NDVI值分析、fAPAR指数计算和作物生长状态监测。数据分析结果可为农业生产提供重要信息。,"(1) 时间范围：2022-2023年
(2) 地理范围：印度北方邦乌塔尔·普拉德什邦
(3) 主题任务：农作物种植情况分析",农作物分类（小麦、芥菜、马铃薯和鹰嘴豆）,农作物种植面积计算,4,农作物提取与分类
9560,script_178394,"该脚本主要针对印度哈里亚纳地区的农作物健康和产量进行分析和可视化，包括以下主要内容：

1. 导入了哈里亚纳地区的感兴趣区域（ROI）和分类图像数据。
2. 生成了CSV文件中的点数据，并根据作物类型进行筛选和可视化。
3. 使用MODIS数据计算了NDVI（归一化植被指数）并识别了作物的健康状况和播种日期。
4. 估算了光合有效辐射（PAR）和叶面积指数（fAPAR），并计算了水分胁迫和作物产量。
5. 导出了作物健康、产量和播种日期的结果图像，并将其保存到Google Drive中。

该脚本通过GEE对农作物的健康和产量进行了综合分析，为农业生产提供了有益的信息。",该文段介绍了利用MODIS数据进行植被覆盖度分析的方法。通过提取ROI区域的NDVI数据，计算fAPAR指数，实现对植被生长情况的监测。结果存储在Google Drive中，为农业生产提供了重要信息。,"(1) 时间范围：无
(2) 地理范围：印度哈里亚纳地区
(3) 主题任务：农作物健康和产量分析",农作物健康分析；农作物产量分析,农作物产量估算,4,农作物健康状况分析
9561,script_178409,"该脚本主要针对印度哈里亚纳地区的农作物监测进行了空间分析和可视化，包括以下主要内容：

1. 导入了哈里亚纳地区的地理数据和分类后的遥感影像。
2. 选择了FeautureCollection中的Charki Dadri和Mahendragarh两个地区作为感兴趣区域（ROI）。
3. 使用哨兵2卫星影像数据集进行了多个日期的农作物监测，包括选择特定日期范围和波段，裁剪感兴趣区域。
4. 生成了NDVI（归一化植被指数）并根据作物分类生成了NDVI的最大值图层。
5. 将NDVI最大值图层按作物类型（小麦和芥子）进行了可视化展示，并导出了相关图层的数据。

这个脚本主要用于监测农作物的生长情况，并可视化了不同作物类型的NDVI最大值，有助于农作物的监测和分析。",使用遥感数据在印度Charki Dadri和Mahendragarh地区进行了NDVI分析，以研究不同作物类型的生长情况。结果显示NDVI值图表现出不同作物类型的生长状况，为农业生产提供了重要参考。,"(1) 时间范围：多个日期的农作物监测
(2) 地理范围：印度哈里亚纳地区的Charki Dadri和Mahendragarh两个地区
(3) 主题任务：农作物监测和可视化",农作物监测,农作物生长状况预测,4,农作物生长状况评估/预测
9564,script_17916,"该脚本主要针对埃塞俄比亚Arbegona地区的土地利用和植被指数进行了分析和可视化，包括以下主要内容：

1. 导入了Arbegona地区的地理数据，并在地图上展示了农田的位置。
2. 计算了农田的总面积，并标记了Kebenawa、Baneta、Gebeta和Edoro等特定地区的农田。
3. 使用Sentinel-2卫星数据计算了NDVI和NDWI指数，并对数据进行了可视化。
4. 通过图表展示了Kebenawa、Baneta、Gebeta和Edoro地区的NDVI和NDWI指数的平均值和标准差，以及带有缓冲区的土地像元统计信息。

这个脚本主要用于分析Arbegona地区的土地利用和植被指数变化情况，以及对特定地区的农田进行监测和评估。",该文研究了使用Sentinel-2数据对埃塞俄比亚Arbegona地区的植被覆盖进行监测。通过分析NDVI和NDWI指数，研究者发现Kebenawa、Baneta、Gebeta和Edoro地区的植被覆盖和水体分布情况，以及作物类型的变化。,"(1) 时间范围：无
(2) 地理范围：埃塞俄比亚Arbegona地区，Kebenawa、Baneta、Gebeta和Edoro等特定地区
(3) 主题任务：土地利用和植被指数分析",农作物监测,农作物生长状况预测,4,农作物生长状况评估/预测
9565,script_179847,"该脚本主要针对使用Sentinel-2影像数据进行空间分析和可视化，包括以下主要内容：

1. 导入了Sentinel-2影像数据和区域边界的地理数据。
2. 选择了特定日期范围内的影像数据，并根据云量进行筛选。
3. 添加了选择日期范围内的影像数据作为图层，并设置了RGB可视化参数。
4. 计算了选择日期范围内的NDVI（归一化植被指数）并添加为图层，展示了2019年冬季的植被状况。
5. 最后，添加了区域边界的地理数据作为图层，展示了CSA（农业示范区）的位置。

该脚本主要用于对特定日期范围内的Sentinel-2影像数据进行处理和可视化，以及展示特定区域的植被状况和农业示范区的位置。",使用Sentinel-2卫星数据，对特定地区进行了植被覆盖分析，包括NDVI和RGB图像，展示了2019年的植被状况和农业分布。此外，还展示了CSA和农业分布的空间分布。,"(1) 时间范围：2019年冬季
(2) 地理范围：CSA（农业示范区）
(3) 主题任务：Sentinel-2影像数据空间分析和可视化",植被状况分析,农作物遮罩分析,4,农作物生长状况分析
9566,script_180743,"该脚本主要针对WP趋势在灌溉农业的国家级别进行了分析。主要内容包括：

1. 数据准备：选择感兴趣的国家，检查投影和比例。
2. 选择LCC为灌溉的像素，并创建仅润湿和仅雨养像素。
3. 选择所有年份中灌溉（或雨养）的像素。
4. 选择被其他灌溉像素包围的像素。
5. 选择LST和NDVI质量高的像素。
6. 映射WAPOR数据，并创建时间序列图表。

该脚本使用GEE进行空间分析任务开发，涉及数据准备、像素选择和质量筛选，最终可视化WAPOR数据并创建时间序列图表。",该文段讨论了利用GEE平台和遥感数据进行水资源管理的方法。通过选择LCC、LST、NDVI等数据，对不同地区的水资源状况进行监测和分析，以支持农业生产和水资源管理决策。同时，还使用WAPOR数据生成时空分布图。,"(1) 时间范围：所有年份中
(2) 地理范围：国家级别
(3) 主题任务：空间分析任务",农作物灌溉分析,农作物灌溉区域分析,4,农作物灌溉区域分析
9567,script_180788,"该脚本主要针对灌溉农业的WP趋势在国家级别进行了分析。主要包括以下内容：

1. 数据准备：选择感兴趣的国家，检查国家的投影和比例尺。
2. 指定应用的函数：对图像进行过滤、应用连接和统计。
3. 选择LCC为耕地的像素：创建LCC图层的特征集合，裁剪所选国家的LCC特征集合，选择灌溉和雨养的像素。
4. 选择LST质量高的像素：过滤像素数量低于75%的像素，将结果数据重新采样到原始分辨率，使用NDVI质量高的像素。

该脚本通过对空间数据进行过滤、连接和统计，最终创建了最终的耕地、灌溉和雨养的蒙版，以及相应的统计信息。",该文段描述了利用遥感数据进行土地利用分类的过程。使用LCC和LST数据进行分类，分析了不同作物类型的分布和覆盖情况。通过NDVI计算植被覆盖率，得出土地利用和植被信息。,"(1) 时间范围：无
(2) 地理范围：国家级别
(3) 主题任务：空间数据分析",农作物灌溉分析,农作物灌溉区域分析,4,农作物灌溉区域分析
9568,script_181872,"该脚本主要针对云南省昭通市的苹果树植被覆盖情况进行了分析和可视化，包括以下主要内容：

1. 导入了苹果树遥感影像数据集。
2. 对影像进行预处理，计算了归一化植被指数（NDVI）并添加为影像的一个波段。
3. 使用Sentinel-2影像数据集进行了云和阴影的遮蔽处理，并对影像进行了裁剪。
4. 展示了NDVI的空间分布，以调色板方式呈现了植被覆盖情况。
5. 通过图表展示了不同地点的年均NDVI曲线，分析了植被覆盖的变化趋势。",使用Sentinel-2卫星数据，对中国某地区的植被覆盖进行了NDVI指数分析。结果显示NDVI空间分布和颜色表现出不同的植被覆盖情况，反映了植被生长的变化。,"(1) 时间范围：无
(2) 地理范围：云南省昭通市
(3) 主题任务：植被覆盖分析",苹果树覆盖分析,农作物遮罩分析,4,农作物提取与分类
9569,script_182150,"该脚本主要针对俄亥俄州的农作物种植情况进行了分析和可视化，包括以下主要内容：

1. 导入了俄亥俄州各县的地理数据，并在地图上展示了这些县的边界。
2. 使用美国农业部的Cropland Data Layer（CDL）数据集，生成了2016年至2021年的玉米和大豆种植分布图层。
3. 利用Landsat卫星数据计算了2016年至2021年玉米和大豆种植区域的植被指数（NDVI、EVI2等），并生成了这些指数的年度平均合成图层。
4. 通过几何区域缩减操作，计算了各县的玉米和大豆种植区域的植被指数均值，并将结果导出为CSV文件。
5. 最后，将2017年的植被指数图层与2017年的CDL数据进行叠加，生成了玉米和大豆种植区域的植被指数遮罩图层，并在地图上展示了该图层。

这个脚本主要用于分析俄亥俄州农作物的种植情况，包括种植分布、植被指数和遮罩图层的生成和可视化。","该文段总结如下：
使用Landsat数据和Cropland Data Layer（CDL）进行2016年至2021年的美国农田覆盖分类，生成NDVI和EVI2指数，制作相应的农田覆盖分类图。包括2017年的具体农田分类图和CDL数据对比展示。","(1) 时间范围：2016年至2021年
(2) 地理范围：俄亥俄州
(3) 主题任务：农作物种植情况分析",植被生长分析（玉米、大豆）,农作物灌溉区域分析,4,农作物生长状况评估/预测
9570,script_184354,"该脚本主要针对缅甸的稻田种植区域进行了空间分析和可视化，包括以下主要内容：

1. 导入了MODIS 16天EVI影像集合。
2. 加载了缅甸的地理数据，并筛选出稻田种植区域进行可视化。
3. 分别分析了2010年至2015年和2016年至2021年的EVI值，并通过图表展示了这两个时期的EVI变化趋势。
4. 计算了参考时期和最近时期的EVI均值，并展示了两个时期的均值影像。
5. 计算了最近时期与参考时期的EVI值差异，并展示了差异的累积值和变化趋势。
6. 最后，将累积的EVI差异导出为GeoTIFF格式的文件。

这个脚本主要用于分析缅甸稻田种植区域的EVI变化情况，并通过图表和影像展示了参考时期和最近时期的差异。",该文研究利用MODIS 16日EVI数据分析了中国不同地区2010-2021年植被覆盖变化。通过EVI值的时空变化，揭示了植被生长季节和干旱对植被的影响。研究结果以GeoTIFF格式文件呈现。,"(1) 时间范围：2010年至2015年和2016年至2021年
(2) 地理范围：缅甸
(3) 主题任务：EVI变化分析",稻田生长分析,农田干旱情况分析,4,农作物生长状况评估/预测
9571,script_1852,"该脚本主要针对中国不同地区的玉米种植情况进行了分析和可视化，包括以下主要内容：

1. 导入了吉林、辽宁和黑龙江地区的地理数据和玉米种植指数图像。
2. 分别分析了2018年吉林、辽宁和黑龙江地区的玉米种植情况，并计算了玉米种植面积。
3. 通过图层叠加和遮罩操作，筛选出玉米种植面积，并进行可视化展示。
4. 最终将分析结果导出为栅格图像，并保存到Google Earth Engine中。

这个脚本主要用于对玉米种植面积进行空间分析和可视化，为农业生产和土地利用规划提供数据支持。",该文段描述了利用遥感数据和Google Earth Engine进行农作物分类和监测。2018年，通过图像处理和分类算法，对不同地区的农作物进行了识别和监测。这项技术为农业生产提供了重要支持，尤其是对于不同作物类型的监测和管理。,"(1) 时间范围：2018年
(2) 地理范围：吉林、辽宁和黑龙江地区
(3) 主题任务：玉米种植面积空间分析",玉米种植分析,农田提取与分类,4,农田提取与分类
9572,script_185566,"该脚本主要用于南非的农作物分类，包括以下主要内容：

1. 导入了训练数据和土地覆盖数据。
2. 通过合并训练数据集，创建了感兴趣区域（AOI）。
3. 对土地利用和覆盖图像进行了分类，识别了农田地区。
4. 上传并准备了Landsat图像，包括云覆盖评估和TOA图像。
5. 计算了地形参数，如坡度和邻域差异。
6. 使用SVM和随机森林分类器对图像进行了分类，并应用了农田地区的遮罩。
7. 最后，将SVM和随机森林分类结果进行了合并和可视化。",该文段描述了利用遥感数据和机器学习技术进行土地利用分类的过程。使用Landsat数据获取地表反射率，结合AOI提取土地利用信息，再利用SVM分类器对不同作物类型进行识别。这一过程涉及数据获取、预处理和分类识别。,"(1) 时间范围：无
(2) 地理范围：南非
(3) 主题任务：农作物分类",农作物分类,农作物物侯特征分析,4,农田提取与分类
9573,script_115748,"该脚本主要针对塞内加尔地区的农业土地利用进行了分析和可视化，包括以下主要内容：

1. 导入了塞内加尔地区的地理数据和农场范围。
2. 使用哨兵2卫星影像数据进行了两个时间段（2020年2月1日至10日和2020年2月15日至24日）的农业土地利用变化分析。
3. 对卫星影像进行了云覆盖和大气校正处理，并计算了NDVI指数，用于分析植被状况。
4. 通过可视化展示了两个时间段内的农业土地利用和植被指数变化情况。
5. 最终将分析结果导出为图像数据，以便进一步的研究和应用。",该文段描述了利用遥感数据分析农业生产情况。通过NDVI指数分析，研究了不同作物在不同时间段的生长情况。研究地点为某地区，时间为2020年2月1日至2月15日。通过遥感数据分析，揭示了农作物生长状态的变化。,"(1) 时间范围：2020年2月1日至10日和2020年2月15日至24日
(2) 地理范围：塞内加尔地区
(3) 主题任务：农业土地利用分析",农作物生长分析,农作物遮罩分析,4,农作物生长状况评估/预测
